episode,score,total_reward,avg_loss,epsilon,steps
126,2,13.16,1.4067920987633453,0.531750826943791,87
127,0,-8.64,1.3153023386001588,0.5290920728090721,25
128,3,21.060000000000006,1.589088879782578,0.5264466124450268,58
129,1,0.5099999999999998,1.64434814453125,0.5238143793828016,21
130,0,-9.45,1.4661763086915016,0.5211953074858876,16
131,1,1.3200000000000003,1.3049874901771545,0.5185893309484582,30
132,1,0.5199999999999996,1.4730320537090302,0.5159963842937159,50
133,1,1.7599999999999998,1.3768566795017407,0.5134164023722473,46
134,0,-9.34,1.4232789198557536,0.510849320360386,15
135,0,-9.74,1.411170392377036,0.5082950737585841,35
136,1,0.3000000000000007,1.4785550733407338,0.5057535983897912,12
137,1,1.2800000000000011,1.4884483884362614,0.5032248303978422,34
138,1,0.1700000000000017,1.472234300772349,0.500708706245853,15
139,1,1.4299999999999997,1.4767074646620915,0.4982051627146237,29
140,2,11.910000000000004,1.4519863580503771,0.49571413690105054,62
141,1,0.26000000000000156,2.076486997306347,0.4932355662165453,16
142,0,-9.709999999999999,1.982306502082131,0.4907693883854626,22
143,1,1.6699999999999982,1.6524908351898193,0.4883155414435353,25
144,1,0.8399999999999999,1.7086856985578731,0.4858739637363176,98
145,0,-8.94,1.8244608561197917,0.483444593917636,15
146,0,-9.27,1.7537355391602767,0.4810273709480478,38
147,1,0.5800000000000072,1.793452151119709,0.47862223409330756,64
148,0,-9.78,1.6259343196184208,0.47622912292284103,39
149,1,1.120000000000001,1.8116428454717,0.4738479773082268,30
150,0,-8.89,1.813946008682251,0.47147873742168567,20
151,1,1.0,1.531861031597311,0.46912134373457726,22
152,1,1.1500000000000021,1.7217353840132017,0.46677573701590436,37
153,1,1.4100000000000001,1.8850095041336552,0.46444185833082485,31
154,2,10.920000000000009,1.7560652385295277,0.46211964903917074,71
155,1,1.8200000000000056,1.7670035612583161,0.4598090507939749,100
156,2,11.129999999999999,1.8242623925209045,0.457510005540005,80
157,1,0.3400000000000052,1.809998479982217,0.45522245551230495,48
158,4,32.070000000000014,1.8293686211109161,0.4529463432347434,48
159,6,55.740000000000194,1.8366018470409697,0.4506816115185697,113
160,3,20.800000000000008,1.9292792854830623,0.4484282034609769,64
161,2,12.080000000000005,1.8280081351598103,0.446186062443672,75
162,3,21.800000000000004,1.6456596932627938,0.4439551321314536,44
163,1,1.5700000000000003,1.7393377917153494,0.4417353564707963,35
164,1,0.14000000000000057,1.6410845816135406,0.43952667968844233,8
165,0,-9.45,1.689565658569336,0.43732904629000013,16
166,6,55.340000000000174,1.6757604381195585,0.4351424010585501,133
167,2,11.879999999999999,1.7083336915288652,0.43296668905325736,35
168,0,-9.5,1.6083731209078143,0.43080185560799106,31
169,1,0.9599999999999991,1.5924207522318914,0.4286478463299511,26
170,3,22.640000000000022,1.5958669102191925,0.42650460709830135,100
171,2,10.240000000000002,1.8348587625905086,0.42437208406280985,19
172,4,32.61000000000003,1.780491401751836,0.4222502236424958,54
173,3,23.510000000000062,1.8519770151161286,0.42013897252428334,83
174,1,1.4699999999999989,1.7887101164230934,0.4180382776616619,65
175,1,2.369999999999999,1.608611436323686,0.4159480862733536,55
176,3,22.970000000000027,1.7188550605402364,0.41386834584198684,77
177,5,44.11000000000013,1.732535267577452,0.4117990041127769,85
178,0,-9.09,1.7162265673279762,0.40974000909221303,40
179,2,12.439999999999998,1.667411762779042,0.40769130904675194,59
180,2,10.809999999999999,1.7741757687181234,0.40565285250151817,32
181,1,0.5,2.266469935576121,0.4036245882390106,12
182,2,12.280000000000001,1.7624549302187833,0.4016064652978155,55
183,1,1.75,1.9211936866914905,0.3995984329713264,37
184,2,12.16,1.6156281277314941,0.3976004408064698,67
185,2,12.55,1.7837448582567017,0.39561243860243744,58
186,3,23.700000000000017,1.865939951426274,0.3936343764094253,74
187,0,-9.01,1.9079069793224335,0.39166620452737816,12
188,2,12.41,1.8996444619618928,0.3897078735047413,52
189,1,2.710000000000001,1.8069220537044963,0.3877593341372176,61
190,1,1.370000000000001,1.8375977209636143,0.3858205374665315,35
191,2,11.34,1.7743586137376983,0.38389143477919885,29
192,3,22.350000000000023,1.7625965755197066,0.3819719776053028,79
193,2,11.280000000000001,1.7071241515023368,0.3800621177172763,35
194,2,11.23,1.8236788289887564,0.37816180712868996,70
195,2,11.280000000000001,1.7290614690099444,0.37627099809304654,35
196,2,12.059999999999999,1.8678470168794905,0.3743896431025813,77
197,1,2.1499999999999986,1.6931342450348106,0.37251769488706843,37
198,3,23.02000000000001,1.7732177607474788,0.3706551064126331,62
199,3,24.530000000000058,1.6788857829423598,0.36880183088056995,81
200,0,-9.65,1.793372131884098,0.3669578217261671,16
201,1,0.8599999999999994,2.139086425304413,0.36512303261753626,16
202,5,44.63000000000014,1.9052518971504704,0.3632974174544486,93
203,1,1.2300000000000004,1.8548338824305042,0.3614809303671764,29
204,3,23.200000000000045,1.723516653884541,0.3596735257153405,44
205,7,67.4800000000002,1.8369652902086575,0.3578751580867638,120
206,1,1.2700000000000014,1.8428773307800292,0.35608578229633,25
207,3,23.650000000000006,1.8495527104045568,0.3543053533848483,89
208,2,12.419999999999998,1.8514874170466167,0.35253382661792404,41
209,1,1.4499999999999993,1.8919395649874653,0.3507711574848344,27
210,5,45.43000000000016,1.7906020283699036,0.34901730169741024,113
211,7,65.9900000000002,1.8834194731311638,0.3472722151889232,119
212,3,25.83000000000007,1.932453207067541,0.3455358541129786,111
213,2,12.21,1.9633311549058328,0.3438081748424137,52
214,7,65.62000000000013,1.9114215221515922,0.3420891339682016,86
215,2,14.959999999999997,1.89031698648957,0.3403786882983606,87
216,3,22.0,1.943404953588139,0.3386767948568688,44
217,1,1.0800000000000018,1.880755042328554,0.33698341088258443,34
218,4,34.49000000000007,1.9257644812266033,0.3352984938281715,66
219,1,1.5799999999999983,1.9051914314428966,0.33362200135903064,24
220,1,0.6799999999999997,1.827179227556501,0.33195389135223546,14
221,6,56.45000000000017,2.157084109527724,0.3302941218954743,112
222,3,22.09000000000001,2.103038921722999,0.32864265128599696,65
223,2,12.549999999999997,2.0762488451497307,0.326999438029567,58
224,7,66.3800000000002,2.1307490067048507,0.3253644408394192,110
225,1,1.5,2.037211626768112,0.3237376186352221,32
226,0,-8.53,2.160252367456754,0.322118930542046,24
227,3,23.470000000000027,2.161964089123171,0.32050833588933575,67
228,4,32.690000000000026,2.127360073632972,0.31890579420988907,86
229,1,3.9099999999999984,2.2564238153520177,0.3173112652388396,61
230,3,21.21,2.0461722467884873,0.3157247089126454,33
231,4,35.350000000000065,2.0705862611532213,0.3141460853680822,80
232,6,54.770000000000124,2.166930502653122,0.3125753549412418,80
233,1,1.0599999999999987,2.0316537842154503,0.31101247816653554,16
234,2,11.39,2.18115734352785,0.30945741577570285,34
235,3,23.05000000000001,2.299304108230435,0.3079101286968243,49
236,1,0.9700000000000006,1.8666813294092814,0.3063705780533402,15
237,2,11.75,2.182500522387655,0.30483872516307353,38
238,1,0.6099999999999994,2.200590149048836,0.3033145315372582,31
239,0,-9.13,2.088020548224449,0.3017979588795719,24
240,2,11.29,2.127936323483785,0.30028896908517405,24
241,1,0.5399999999999991,2.213100388646126,0.2987875242397482,8
242,5,42.43000000000004,2.0382170890862086,0.29729358661854943,53
243,1,1.0399999999999991,1.9620944129096136,0.29580711868545667,18
244,6,56.3300000000002,2.089005219248625,0.2943280830920294,104
245,3,24.91000000000004,2.098100546494271,0.29285644267656924,103
246,2,12.929999999999996,2.008704271912575,0.2913921604631864,40
247,4,33.77000000000008,2.036194530026666,0.28993519966087045,58
248,3,21.930000000000003,2.0815436781906502,0.2884855236625661,41
249,3,23.640000000000015,1.9779963195323944,0.28704309604425327,60
250,3,23.20000000000001,2.0337955220179125,0.285607880564032,44
251,2,10.700000000000006,2.0616425163341017,0.28417984116121187,53
252,3,21.5,2.1480548206497643,0.2827589419554058,34
253,2,11.759999999999998,1.8355743222766452,0.28134514724562876,27
254,6,53.9800000000001,2.02794849699822,0.2799384215094006,69
255,2,11.509999999999998,2.056808114051819,0.27853872940185365,22
256,0,-9.01,1.8795708119869232,0.27714603575484437,12
257,3,22.690000000000012,2.119507927364773,0.2757603055760701,45
258,2,12.27,2.2409229278564453,0.2743815040481898,46
259,2,12.29,2.0696227569133043,0.2730095965279488,64
260,1,2.0600000000000005,2.098708493842019,0.27164454854530906,36
261,6,55.240000000000094,2.3065650865256067,0.2702863258025825,83
262,2,10.969999999999999,2.1913098792235055,0.2689348941735696,36
263,2,11.41,2.2456027381122112,0.26759021970270175,32
264,2,11.75,2.226771320167341,0.2662522686041882,38
265,5,45.01000000000015,2.2387459215364958,0.2649210072611673,95
266,3,24.0,2.3197799548506737,0.26359640222486147,64
267,1,1.7100000000000009,2.2986758046033904,0.26227842021373715,41
268,3,23.27000000000003,2.212503324163721,0.2609670281126685,47
269,2,12.779999999999998,2.476921886867947,0.25966219297210513,45
270,3,21.9,2.295341663500842,0.2583638820072446,34
271,5,43.6600000000001,2.3114184296131133,0.2570720625972084,100
272,4,34.69000000000007,2.276079621425895,0.25578670228422234,86
273,1,0.8300000000000001,2.184309219491893,0.25450776877280124,29
274,1,1.08,2.404086104461125,0.2532352299289372,14
275,9,91.48000000000039,2.330526049774472,0.2519690537792925,202
276,2,11.25,2.3686064737183705,0.2507092085103961,28
277,1,0.9199999999999999,2.2825273513793944,0.2494556624678441,30
278,1,1.5099999999999998,2.194247665859404,0.24820838415550486,21
279,2,11.059999999999999,2.176824310246636,0.24696734223472733,17
280,4,32.500000000000036,2.315234648097645,0.2457325055235537,55
281,5,48.04000000000023,2.4238361530616634,0.24450384299593592,122
282,14,137.51000000000022,2.579948531157935,0.24328132378095624,134
283,4,33.76000000000008,2.4782127781190733,0.24206491716205145,69
284,7,66.1100000000002,2.505124532331632,0.2408545925762412,127
285,6,55.15000000000015,2.482829656086716,0.23965031961336,102
286,2,11.68,2.7478429215294975,0.2384520680152932,35
287,4,33.70000000000007,2.498090624809265,0.23725980767521673,55
288,1,0.9100000000000001,2.6999091647920155,0.23607350863684065,21
289,3,23.820000000000057,2.645165162842448,0.23489314109365644,82
290,5,44.4100000000001,2.5487672106424966,0.23371867538818816,75
291,10,99.44000000000037,2.6207280222744864,0.23255008201124722,187
292,3,22.04,2.5115387082099914,0.231387331601191,40
293,8,79.91000000000031,2.609228782710575,0.23023039494318503,168
294,12,126.54000000000053,2.530861258276641,0.2290792429684691,259
295,3,23.040000000000006,2.6310709744691847,0.22793384675362674,40
296,5,46.94000000000011,2.628570394856589,0.22679417751985861,112
297,7,67.09000000000017,2.5356668791639696,0.22566020663225933,109
298,0,-9.02,2.614465568376624,0.22453190559909803,23
299,5,47.12000000000019,2.555239498615265,0.22340924607110255,114
300,4,34.16000000000008,2.442575204199639,0.22229219984074702,69
301,1,1.190000000000003,2.676820332353765,0.2211807388415433,33
302,3,23.320000000000007,2.6610215191657725,0.22007483514733558,52
303,1,2.289999999999999,2.8173254478809446,0.2189744609715989,43
304,1,1.42,2.5298765540122985,0.2178795886667409,20
305,7,70.27000000000037,2.7157298821454856,0.2167901907234072,171
306,6,58.930000000000234,2.6586436852812767,0.21570623976979014,144
307,1,0.8100000000000005,2.8162049488587813,0.21462770857094118,11
308,12,122.5400000000005,2.6946660350991167,0.21355457002808648,219
309,5,43.090000000000074,2.751702835310751,0.21248679717794605,67
310,2,13.179999999999996,2.7145369635687935,0.21142436319205632,45
311,5,45.68000000000015,2.68733357771849,0.21036724137609603,78
312,1,1.0199999999999996,2.3570482552051546,0.20931540516921554,20
313,4,33.81000000000006,2.8230998161676766,0.20826882814336947,74
314,9,87.89000000000026,2.7514952612287216,0.20722748400265262,131
315,6,57.79000000000019,2.6847735158467696,0.20619134658263935,118
316,4,34.02000000000005,2.8046840558569115,0.20516038984972615,83
317,1,0.879999999999999,2.9476667983191356,0.2041345879004775,14
318,3,23.900000000000006,2.74448028770653,0.2031139149609751,74
319,4,32.040000000000006,2.9452201505986655,0.20209834538617025,41
320,6,55.93000000000016,2.819623487336295,0.2010878536592394,84
321,3,20.9,3.241195900099618,0.2000824143909432,14
322,6,56.27000000000011,2.781702715820736,0.19908200231898848,90
323,5,43.11000000000004,2.7684259202745225,0.19808659230739353,45
324,5,46.41000000000011,2.626621719410545,0.19709615934585656,95
325,1,1.17,2.7123402754465737,0.19611067854912728,15
326,3,21.390000000000004,2.9678928818021504,0.19513012515638165,35
327,7,67.78000000000019,2.7053180022673176,0.19415447453059972,110
328,7,65.92000000000014,2.738298145433267,0.19318370215794672,96
329,1,0.9000000000000004,2.7716754898428917,0.192217783647157,32
330,10,98.83000000000034,2.68095675525786,0.1912566947289212,158
331,2,11.379999999999999,2.654341249465942,0.1903004112552766,25
332,7,63.9400000000001,2.767006973962526,0.18934890919900021,74
333,5,44.11000000000008,2.758917619631841,0.18840216465300522,65
334,11,113.54000000000043,2.778307201284351,0.18746015382974018,198
335,7,66.17000000000019,2.678824289010303,0.1865228530605915,101
336,5,43.390000000000065,2.7162189128106102,0.18559023879528855,57
337,5,47.07000000000015,2.732210234764519,0.1846622876013121,109
338,5,46.08000000000011,2.7821007541247775,0.18373897616330553,98
339,5,44.10000000000012,2.7987545148322455,0.182820281282489,76
340,1,1.410000000000002,2.9547552831711306,0.18190617987607657,31
341,6,53.86000000000008,2.7009653536999814,0.18099664897669618,61
342,4,34.330000000000055,2.490247586081105,0.1800916657318127,62
343,3,22.67,2.700523670683516,0.17919120740315364,47
344,7,68.47000000000025,2.629905257516235,0.17829525136613786,131
345,15,154.57000000000048,2.6278043130073407,0.17740377510930716,269
346,8,79.11000000000026,2.7226066371879063,0.17651675623376062,148
347,0,-8.99,2.739821283022563,0.1756341724525918,30
348,1,2.1199999999999974,2.6620187322298685,0.17475600159032884,30
349,6,56.52000000000014,2.6069187590950413,0.17388222158237718,95
350,9,93.41000000000041,2.4608668714928226,0.1730128104744653,179
351,1,0.49000000000000377,2.660890651785809,0.17214774642209296,23
352,22,233.26000000000064,2.62225318021801,0.1712870076899825,357
353,4,33.570000000000036,2.5767485807681907,0.17043057265153258,58
354,2,13.309999999999999,2.877716141087668,0.16957841978827493,42
355,3,22.22,2.9009678846313838,0.16873052768933355,42
356,1,1.4399999999999995,2.490656773249308,0.1678868750508869,18
357,2,12.009999999999998,2.58659952506423,0.16704744067563246,32
358,18,184.17000000000036,2.5947845203095468,0.1662122034722543,232
359,3,22.35,2.5869062405366163,0.16538114245489302,39
360,0,-8.92,2.8331195482840905,0.16455423674261854,13
361,2,11.919999999999998,3.3361651205247447,0.16373146555890544,31
362,1,2.2799999999999994,2.843321053420796,0.16291280823111093,34
363,0,-9.83,2.815725796362933,0.16209824418995536,34
364,7,65.7700000000001,2.75893787101463,0.16128775296900558,81
365,1,1.5099999999999998,2.7977912766592845,0.16048131420416054,21
366,1,1.5599999999999987,2.999804987357213,0.15967890763313974,26
367,14,141.8500000000003,2.810408890247345,0.15888051309497406,220
368,12,123.82000000000045,2.7570990250573906,0.1580861105294992,211
369,3,24.100000000000037,2.665384502024264,0.1572956799768517,74
370,14,144.1100000000004,2.8379469341206773,0.15650920157696743,214
371,4,34.2300000000001,2.9152675651841693,0.1557266555690826,72
372,3,22.92000000000003,2.796359169941682,0.1549480222912372,52
373,4,37.39000000000013,2.754157709578673,0.15417328217978102,96
374,1,1.620000000000001,2.517042201757431,0.1534024157688821,20
375,4,33.42000000000003,2.9335555032242175,0.1526354036900377,43
376,8,82.3500000000004,2.808229063342257,0.1518722266715875,164
377,7,68.62000000000016,2.695204510575249,0.15111286553822956,126
378,12,122.17000000000033,2.799126450733472,0.15035730121053842,186
379,8,80.29000000000033,2.944903447347529,0.14960551470448571,170
380,1,1.1099999999999994,2.78687546366737,0.14885748713096328,21
381,7,68.88000000000024,2.963423636555672,0.14811319969530845,120
382,7,66.76000000000013,2.8498972032381142,0.1473726336968319,92
383,1,0.9000000000000004,2.8472850720087686,0.14663577052834775,12
384,12,121.59000000000043,2.9792166961276014,0.14590259167570602,184
385,1,1.4300000000000015,2.712868563060103,0.1451730787173275,29
386,1,1.2400000000000002,2.6315327750311956,0.14444721332374086,18
387,12,124.77000000000052,2.8651557281179336,0.14372497725712216,206
388,19,201.24000000000063,3.0057474435085343,0.14300635237083656,336
389,6,54.84000000000009,2.7932744069271775,0.14229132060898236,83
390,1,1.5299999999999994,2.970285365456029,0.14157986400593744,19
391,8,80.22000000000027,2.8216551607157907,0.14087196468590776,147
392,6,57.60000000000011,2.721742438378735,0.14016760486247823,107
393,8,77.93000000000026,2.819169775834159,0.13946676683816583,126
394,3,23.58,2.8701358489368274,0.138769433003975,46
395,5,45.84000000000006,2.992691307533078,0.13807558583895513,82
396,14,141.92000000000033,2.8960022932844733,0.13738520790976036,183
397,1,1.0399999999999991,3.296386334631178,0.13669828187021155,18
398,2,13.34,3.0279455525534495,0.13601479046086049,49
399,1,1.08,2.8511283567973544,0.1353347165085562,14
400,8,77.01000000000023,2.977078685315989,0.1346580429260134,118
401,3,23.690000000000012,3.0015771572406473,0.13398475271138335,65
402,1,0.5700000000000003,3.1183619022369387,0.13331482894782642,15
403,9,89.59000000000033,3.015812245521756,0.13264825480308728,181
404,1,0.8100000000000005,3.135480772365223,0.13198501352907185,11
405,3,23.520000000000053,3.126488596200943,0.1313250884614265,52
406,12,124.89000000000047,3.012923226528561,0.13066846301911936,194
407,7,66.16000000000017,2.9965961886488874,0.13001512070402377,92
408,3,22.03,3.136085025725826,0.12936504510050365,31
409,6,55.050000000000125,2.94191078129022,0.12871821987500112,92
410,1,1.0799999999999983,2.827038722378867,0.12807462877562611,14
411,6,56.810000000000144,3.0651220170160136,0.12743425563174798,96
412,14,142.88000000000048,3.0371431086031877,0.12679708435358925,227
413,14,145.8400000000004,3.0110917060406175,0.1261630989318213,231
414,15,158.7300000000006,2.9899820434304822,0.1255322834371622,273
415,5,45.88000000000015,3.17008476685255,0.12490462201997637,78
416,9,87.8000000000003,3.0710760895411173,0.1242800989098765,150
417,11,113.30000000000041,2.961301915126272,0.12365869841532712,202
418,3,25.000000000000064,2.918374754488468,0.12304040492325048,64
419,2,14.0,3.0839801080643183,0.12242520289863423,63
420,10,97.82000000000023,3.2045193309083992,0.12181307688414106,109
421,4,33.72000000000007,2.925036164949525,0.12120401149972035,53
422,11,108.46000000000024,3.166921325146206,0.12059799144222175,126
423,4,32.710000000000036,2.8772563338279724,0.11999500148501063,44
424,10,103.0600000000004,2.9148830278499704,0.11939502647758558,185
425,10,99.29000000000032,3.023816177719518,0.11879805134519765,152
426,3,23.360000000000042,2.93031736711661,0.11820406108847166,48
427,5,46.16000000000016,2.9895513918664722,0.1176130407830293,90
428,8,77.44000000000021,3.0369365317480903,0.11702497557911415,105
429,1,0.6799999999999997,3.022847967488425,0.11643985070121858,14
430,2,10.23,2.865293836593628,0.11585765144771248,10
431,6,57.030000000000115,3.046319156251055,0.11527836319047392,94
432,5,45.45000000000008,3.0422924285406596,0.11470197137452155,91
433,14,145.47000000000054,2.9673379309680485,0.11412846151764894,218
434,7,65.03000000000011,3.0323189070350245,0.1135578192100607,95
435,9,89.16000000000025,2.94676451540705,0.11299003011401039,134
436,7,65.3000000000001,2.8470819485493197,0.11242507996344034,78
437,5,46.69000000000008,2.9646208902885176,0.11186295456362313,87
438,16,166.39000000000038,2.983964400158988,0.11130363979080501,288
439,20,213.17000000000075,3.0434292180095603,0.11074712159185099,334
440,6,55.54000000000012,3.0279769923097346,0.11019338598389174,93
441,4,36.37000000000012,3.322140274903713,0.10964241905397228,78
442,36,389.3399999999953,3.1464924909186798,0.10909420695870241,603
443,9,87.43000000000022,3.266464283785869,0.1085487359239089,97
444,0,-8.85,2.977192021906376,0.10800599224428936,16
445,6,56.11000000000014,3.32440129546232,0.10746596228306791,86
446,11,109.49000000000031,3.1182806079549,0.10692863247165257,133
447,12,126.25000000000054,3.1584986573507807,0.1063939893092943,238
448,7,65.83000000000015,3.1686186170578003,0.10586201936274783,75
449,8,76.90000000000016,3.0918532766477025,0.10533270926593409,99
450,1,0.9900000000000002,3.141979529307439,0.10480604571960442,13
451,12,119.09000000000017,3.0576241264095554,0.1042820154910064,154
